UUID	roundOrder	subjectDecision	oppDecision	payoff	timerTriggered	oppBotName	timeCreated
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	31	A	A	4	false	Chimpanzee	1510175882916
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	32	A	A	4	false	Squirrel	1510175887559
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	33	A	A	4	false	Koala	1510175892281
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	34	A	A	4	false	Rabbit	1510175896895
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	35	A	A	4	false	Bear	1510175901464
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	36	A	A	4	false	Bear	1510175905805
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	37	A	A	4	false	Panda	1510175910327
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	38	A	A	4	false	Rabbit	1510175915128
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	39	A	A	4	false	Squirrel	1510175919526
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	40	A	A	4	false	Chimpanzee	1510175924676
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	41	A	A	4	false	Chimpanzee	1510175929471
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	42	A	A	4	false	Squirrel	1510175934688
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	43	A	A	4	false	Chimpanzee	1510175939489
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	44	A	A	4	false	Bear	1510175944202
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	45	A	A	4	false	Panda	1510175948885
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	46	A	A	4	false	Skunk	1510175953442
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	47	A	A	4	false	Bear	1510175958179
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	48	A	A	4	false	Chimpanzee	1510175963462
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	49	A	A	4	false	Bear	1510175968515
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	50	A	A	4	false	Badger	1510175973199
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	51	A	A	4	false	Koala	1510175978355
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	52	A	A	4	false	Rabbit	1510175983245
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	53	A	A	4	false	Badger	1510175988293
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	54	A	A	4	false	Panda	1510175992867
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	55	A	A	4	false	Badger	1510175997890
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	56	A	A	4	false	Skunk	1510176002480
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	57	A	A	4	false	Badger	1510176007042
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	58	A	A	4	false	Koala	1510176011856
b0443504-d3b3-43d1-aa8c-ff6b323ef1c3	59	A	A	4	false	Koala	1510176016207
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	0	A	A	4	false	Skunk	1510175749527
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	1	A	B	1	false	Wolf	1510175756659
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	2	A	B	1	false	Dingo	1510175763522
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	3	B	B	2	false	Badger	1510175769945
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	4	B	B	2	false	Skunk	1510175776079
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	5	B	A	5	false	Deer	1510175781884
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	6	B	A	5	false	Chimpanzee	1510175788297
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	7	B	B	2	false	Skunk	1510175795550
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	8	A	A	4	false	Panda	1510175801976
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	9	B	B	2	false	Deer	1510175808065
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	10	B	B	2	false	Panda	1510175817980
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	11	B	B	2	false	Lion	1510175823750
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	12	B	B	2	false	Wolf	1510175829144
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	13	B	B	2	false	Deer	1510175836085
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	14	B	A	5	false	Deer	1510175842107
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	15	B	A	5	false	Lion	1510175847747
d4ea4b0a-ce7e-44c0-99d3-b38bac43c77d	16	A	A	4	false	Dingo	1510175854403
